ecologicalgroup,include
ACAR,TRUE
ACRI,TRUE
ALGA,TRUE
ANAC,TRUE
ANGI,TRUE
ANIM,TRUE
ANNL,TRUE
AQBR,TRUE
AQVP,TRUE
ARTH,TRUE
BIOM,TRUE
BRYZ,TRUE
CHAR,TRUE
CHRM,TRUE
CLAD,TRUE
COLE,TRUE
COPE,TRUE
DIAT,TRUE
DINO,TRUE
DIPT,TRUE
ELEM,TRUE
EMBR,TRUE
EUDI,TRUE
FLWO,TRUE
FORM,TRUE
FUNG,TRUE
GPOD,TRUE
INSE,TRUE
LABO,TRUE
LEPI,TRUE
MANG,TRUE
MNRL,TRUE
NEMA,TRUE
OCOD,TRUE
PALM,TRUE
PLNT,TRUE
PLOI,TRUE
PROT,TRUE
PSED,TRUE
PTER,TRUE
ROTI,TRUE
SEED,TRUE
SPNG,TRUE
SUCC,TRUE
TEAM,TRUE
TRSH,TRUE
UNID,FALSE
UPBR,TRUE
UPHE,TRUE
VACR,TRUE
VASC,TRUE
NA,FALSE
